"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
5220000000000	670250	887600
5240000000000	666000	864700
5260000000000	662700	863400
5280000000000	672650	878300
5300000000000	669350	873000
5320000000000	655500	858600
5340000000000	659150	865250
5360000000000	653850	860200
5380000000000	637100	849500
5400000000000	639350	841950
5420000000000	658200	868000
5440000000000	635850	859350
5460000000000	654900	867400
5480000000000	651700	869200
5500000000000	677400	880950
5520000000000	658850	886750
5540000000000	673800	893550
5560000000000	674250	897550
5580000000000	668400	883150
5600000000000	671100	872750
5620000000000	677350	881700
5640000000000	667750	872050
5660000000000	654450	850200
5680000000000	659000	861050
5700000000000	660900	864850
5720000000000	662050	875950
5740000000000	653950	877900
5760000000000	663550	874750
5780000000000	652200	856100
5800000000000	661400	865300
5820000000000	664200	859500
5840000000000	667650	894400
5860000000000	646050	868900
5880000000000	660900	863350
5900000000000	644300	849350
5920000000000	662150	878250
5940000000000	681700	901000
5960000000000	673800	869450
5980000000000	667850	886000
6000000000000	673950	868000
6020000000000	662600	876550
6040000000000	673100	882250
6060000000000	663050	875600
6080000000000	666550	880350
6100000000000	651950	853600
6120000000000	663400	869300
6140000000000	651850	849800
6160000000000	657200	859900
6180000000000	653400	874300
6200000000000	654850	861550
6220000000000	657050	882600
6240000000000	666100	873500
6260000000000	666900	878500
6280000000000	669000	874050
6300000000000	670850	880600
6320000000000	677550	887200
6340000000000	667150	881550
6360000000000	656700	867200
6380000000000	649900	858050
6400000000000	655200	858000
6420000000000	642700	856600
6440000000000	653750	863900
6460000000000	666650	882050
6480000000000	659400	884000
6500000000000	651850	871900
6520000000000	668850	879350
6540000000000	664750	883500
6560000000000	676250	873900
6580000000000	669750	880850
6600000000000	670700	878800
6620000000000	663950	868450
6640000000000	662850	873800
6660000000000	663100	876750
6680000000000	678400	901250
6700000000000	671700	895400
6720000000000	677150	880300
6740000000000	680350	896600
6760000000000	675250	890150
6780000000000	676250	885950
6800000000000	688300	902250
6820000000000	686300	898950
6840000000000	691400	911150
6860000000000	674750	878850
6880000000000	660150	882450
6900000000000	664400	883400
6920000000000	665250	884600
6940000000000	660150	872800
6960000000000	667000	888700
6980000000000	673300	886600
7000000000000	677300	875900
7020000000000	685950	896500
7040000000000	687900	907900
7060000000000	684250	904900
7080000000000	685000	890550
7100000000000	674600	886200
7120000000000	681500	897000
7140000000000	659450	886650
7160000000000	671100	883450
7180000000000	653550	875400
7200000000000	649950	859350
7220000000000	641350	846950
7240000000000	671250	874400
7260000000000	656750	877550
7280000000000	653700	876300
7300000000000	671350	861500
7320000000000	663400	856650
7340000000000	672650	879850
7360000000000	666800	890750
7380000000000	669050	881350
7400000000000	685250	894000
7420000000000	698600	911550
7440000000000	676850	880000
7460000000000	664450	880950
7480000000000	669000	885450
7500000000000	673600	887250
7520000000000	665450	892650
7540000000000	672800	885700
7560000000000	654700	878600
7580000000000	673450	880850
7600000000000	663550	874300
7620000000000	661450	871500
7640000000000	658000	866950
7660000000000	636800	847150
7680000000000	647700	862250
7700000000000	648950	861350
7720000000000	666500	875500
7740000000000	653350	866750
7760000000000	665550	890550
7780000000000	667550	880650
7800000000000	676100	888250
7820000000000	659400	867300
7840000000000	664750	878900
7860000000000	657650	885800
7880000000000	668950	878800
7900000000000	667450	890150
7920000000000	635250	833600
7940000000000	674350	871950
7960000000000	668700	888450
7980000000000	669100	889150
8000000000000	687100	889750
8020000000000	651050	870350
8040000000000	668200	882700
8060000000000	661600	864600
8080000000000	662050	858100
8100000000000	681100	898350
8120000000000	671300	883700
8140000000000	657500	864450
8160000000000	642200	845350
8180000000000	659400	868450
8200000000000	669650	884000
8220000000000	680400	886550
8240000000000	635850	856700
8260000000000	690200	915100
8280000000000	692700	902250
8300000000000	658550	863250
8320000000000	676550	883350
8340000000000	664700	879200
8360000000000	643250	845300
8380000000000	639500	845450
8400000000000	637000	842300
8420000000000	635450	849700
8440000000000	660550	866900
8460000000000	642950	859900
8480000000000	653150	852700
8500000000000	654600	864250
8520000000000	681950	905800
8540000000000	665250	863300
8560000000000	673900	894800
8580000000000	672100	896450
8600000000000	673200	898200
8620000000000	655650	876850
8640000000000	661150	871300
8660000000000	668600	878000
8680000000000	659200	869750
8700000000000	662800	847400
8720000000000	681650	877050
8740000000000	684300	898800
8760000000000	671150	888850
8780000000000	670800	899900
8800000000000	656350	877000
8820000000000	660800	872850
8840000000000	665150	876700
8860000000000	672650	872450
8880000000000	667250	884800
8900000000000	667100	874950
8920000000000	658150	885550
8940000000000	682850	883750
8960000000000	675100	875350
8980000000000	669050	877600
9000000000000	669400	876450
9020000000000	663500	876250
9040000000000	676500	892250
9060000000000	682650	899450
9080000000000	657800	873750
9100000000000	659700	859900
9120000000000	643600	875350
9140000000000	656950	862100
9160000000000	654200	866700
9180000000000	650250	857400
9200000000000	651050	867250
9220000000000	653900	875250
9240000000000	662950	875250
9260000000000	660050	876350
9280000000000	683700	896700
9300000000000	662450	873700
9320000000000	661900	874500
9340000000000	673950	883300
9360000000000	669750	884900
9380000000000	680850	904650
9400000000000	681400	893250
9420000000000	649450	870650
9440000000000	671200	873700
9460000000000	659650	862000
9480000000000	678400	903400
9500000000000	664200	888550
9520000000000	665450	856700
9540000000000	662900	872750
9560000000000	664300	870400
9580000000000	656850	870350
9600000000000	654750	874700
9620000000000	652350	871600
9640000000000	650600	878750
9660000000000	647400	872150
9680000000000	678350	893850
9700000000000	662300	883150
9720000000000	678400	900350
9740000000000	673050	886050
9760000000000	658100	863500
9780000000000	662100	878750
9800000000000	657800	882250
9820000000000	645350	880400
9840000000000	666450	871600
9860000000000	653950	846100
9880000000000	653900	866650
9900000000000	661700	865100
9920000000000	644400	864050
9940000000000	648950	848800
9960000000000	649300	864200
9980000000000	653400	855550
10000000000000	649550	867100
10020000000000	670100	877450
10040000000000	669050	871750
10060000000000	664450	880800
10080000000000	662100	872000
10100000000000	672900	879650
10120000000000	677300	883350
10140000000000	669950	897450
10160000000000	666950	897350
10180000000000	668500	889950
10200000000000	664750	884400
10220000000000	659450	876650
10240000000000	659600	879300
10260000000000	666500	878500
10280000000000	674800	875850
10300000000000	677150	897350
10320000000000	675500	892450
10340000000000	653900	865950
10360000000000	670950	888450
10380000000000	661150	852200
10400000000000	684300	906350
10420000000000	676650	883000
10440000000000	679500	895850
10460000000000	667850	876600
10480000000000	669200	875050
10500000000000	680500	898550
10520000000000	675450	889350
10540000000000	669450	890150
10560000000000	687550	914450
10580000000000	660250	877200
10600000000000	658400	877300
10620000000000	661850	880750
10640000000000	640600	859450
10660000000000	665700	897050
10680000000000	659700	861650
10700000000000	654300	864400
10720000000000	662300	873750
10740000000000	667850	877100
10760000000000	662250	893200
10780000000000	673550	883100
10800000000000	663700	880000
10820000000000	677950	888650
10840000000000	664000	885700
10860000000000	682300	886450
10880000000000	667200	886450
10900000000000	654050	879600
10920000000000	664150	877700
10940000000000	664050	874800
10960000000000	680300	884900
10980000000000	678900	892400
11000000000000	690500	890050
11020000000000	676550	896300
11040000000000	661100	872350
11060000000000	657700	879150
11080000000000	660150	861800
11100000000000	668000	882950
11120000000000	669450	880600
11140000000000	636500	847700
11160000000000	645250	864900
11180000000000	667900	871300
11200000000000	658300	872750
11220000000000	667750	880500
11240000000000	645950	863800
11260000000000	679700	899100
11280000000000	670100	893850
11300000000000	676050	904700
11320000000000	669400	883650
11340000000000	678400	899400
11360000000000	644450	857800
11380000000000	655800	875800
11400000000000	661500	876000
11420000000000	645850	868000
11440000000000	664150	875000
11460000000000	652500	871850
11480000000000	673950	878300
11500000000000	679050	891100
11520000000000	684200	904350
11540000000000	678050	896200
11560000000000	669500	883750
11580000000000	671750	876000
11600000000000	684600	903300
11620000000000	685550	909250
