Wavelength,Intensity,ROI,Frame,Row,Column
436.38393128615979,30490,1,1,0,1
436.64451875321373,30665,1,1,0,2
436.9051044343957,30579,1,1,0,3
437.16568832851578,30607,1,1,0,4
437.42627043438455,30651,1,1,0,5
437.6868507508122,30613,1,1,0,6
437.94742927660911,30606,1,1,0,7
438.20800601058585,30618,1,1,0,8
438.46858095155261,30622,1,1,0,9
438.72915409832024,30568,1,1,0,10
438.98972544969905,30610,1,1,0,11
439.25029500449955,30648,1,1,0,12
439.51086276153262,30579,1,1,0,13
439.77142871960842,30631,1,1,0,14
440.03199287753813,30593,1,1,0,15
440.29255523413241,30564,1,1,0,16
440.55311578820175,30640,1,1,0,17
440.81367453855705,30581,1,1,0,18
441.07423148400932,30677,1,1,0,19
441.33478662336921,30678,1,1,0,20
441.59533995544768,30630,1,1,0,21
441.85589147905586,30592,1,1,0,22
442.11644119300445,30630,1,1,0,23
442.37698909610464,30616,1,1,0,24
442.63753518716743,30557,1,1,0,25
442.89807946500383,30601,1,1,0,26
443.15862192842525,30491,1,1,0,27
443.41916257624268,30633,1,1,0,28
443.67970140726726,30634,1,1,0,29
443.94023842031027,30586,1,1,0,30
444.20077361418305,30605,1,1,0,31
444.4613069876969,30607,1,1,0,32
444.72183853966334,30598,1,1,0,33
444.98236826889354,30610,1,1,0,34
445.2428961741989,30598,1,1,0,35
445.50342225439107,30638,1,1,0,36
445.76394650828155,30625,1,1,0,37
446.02446893468181,30608,1,1,0,38
446.28498953240347,30661,1,1,0,39
446.54550830025795,30592,1,1,0,40
446.80602523705733,30603,1,1,0,41
447.066540341613,30646,1,1,0,42
447.32705361273673,30587,1,1,0,43
447.58756504924042,30594,1,1,0,44
447.84807464993582,30652,1,1,0,45
448.10858241363479,30571,1,1,0,46
448.36908833914919,30574,1,1,0,47
448.629592425291,30619,1,1,0,48
448.89009467087214,30578,1,1,0,49
449.15059507470454,30600,1,1,0,50
449.41109363560042,30616,1,1,0,51
449.67159035237171,30618,1,1,0,52
449.93208522383071,30589,1,1,0,53
450.1925782487894,30558,1,1,0,54
450.4530694260601,30595,1,1,0,55
450.71355875445482,30607,1,1,0,56
450.97404623278624,30528,1,1,0,57
451.23453185986625,30584,1,1,0,58
451.49501563450758,30601,1,1,0,59
451.75549755552237,30594,1,1,0,60
452.015977621723,30629,1,1,0,61
452.276455831922,30627,1,1,0,62
452.53693218493208,30612,1,1,0,63
452.79740667956565,30568,1,1,0,64
453.05787931463504,30633,1,1,0,65
453.31835008895337,30617,1,1,0,66
453.57881900133282,30641,1,1,0,67
453.83928605058645,30607,1,1,0,68
454.0997512355267,30576,1,1,0,69
454.36021455496655,30631,1,1,0,70
454.62067600771871,30589,1,1,0,71
454.88113559259608,30536,1,1,0,72
455.14159330841181,30598,1,1,0,73
455.40204915397823,30568,1,1,0,74
455.66250312810877,30582,1,1,0,75
455.92295522961643,30610,1,1,0,76
456.18340545731394,30579,1,1,0,77
456.44385381001484,30618,1,1,0,78
456.70430028653175,30528,1,1,0,79
456.96474488567833,30635,1,1,0,80
457.22518760626747,30592,1,1,0,81
457.4856284471125,30606,1,1,0,82
457.74606740702671,30541,1,1,0,83
458.00650448482332,30631,1,1,0,84
458.2669396793159,30586,1,1,0,85
458.52737298931766,30542,1,1,0,86
458.78780441364216,30609,1,1,0,87
459.0482339511027,30565,1,1,0,88
459.30866160051312,30580,1,1,0,89
459.56908736068669,30603,1,1,0,90
459.82951123043711,30521,1,1,0,91
460.08993320857803,30599,1,1,0,92
460.35035329392315,30559,1,1,0,93
460.610771485286,30594,1,1,0,94
460.87118778148067,30593,1,1,0,95
461.13160218132055,30570,1,1,0,96
461.39201468361983,30548,1,1,0,97
461.65242528719222,30561,1,1,0,98
461.91283399085154,30534,1,1,0,99
462.173240793412,30581,1,1,0,100
462.43364569368737,30657,1,1,0,101
462.69404869049174,30551,1,1,0,102
462.95444978263924,30563,1,1,0,103
463.21484896894378,30642,1,1,0,104
463.47524624821983,30548,1,1,0,105
463.73564161928147,30633,1,1,0,106
463.99603508094276,30559,1,1,0,107
464.256426632018,30584,1,1,0,108
464.51681627132166,30610,1,1,0,109
464.77720399766804,30557,1,1,0,110
465.03758980987141,30573,1,1,0,111
465.29797370674635,30558,1,1,0,112
465.55835568710739,30564,1,1,0,113
465.81873574976868,30548,1,1,0,114
466.07911389354518,30585,1,1,0,115
466.33949011725122,30596,1,1,0,116
466.59986441970153,30532,1,1,0,117
466.86023679971072,30550,1,1,0,118
467.12060725609371,30559,1,1,0,119
467.38097578766497,30618,1,1,0,120
467.64134239323926,30601,1,1,0,121
467.90170707163173,30603,1,1,0,122
468.1620698216571,30632,1,1,0,123
468.42243064213011,30566,1,1,0,124
468.68278953186592,30646,1,1,0,125
468.94314648967946,30607,1,1,0,126
469.20350151438578,30532,1,1,0,127
469.46385460479979,30603,1,1,0,128
469.72420575973683,30590,1,1,0,129
469.98455497801189,30609,1,1,0,130
470.24490225844033,30572,1,1,0,131
470.50524759983716,30531,1,1,0,132
470.76559100101781,30591,1,1,0,133
471.02593246079766,30596,1,1,0,134
471.28627197799176,30591,1,1,0,135
471.54660955141583,30593,1,1,0,136
471.80694517988519,30541,1,1,0,137
472.06727886221529,30552,1,1,0,138
472.32761059722168,30581,1,1,0,139
472.58794038371985,30594,1,1,0,140
472.84826822052543,30520,1,1,0,141
473.10859410645412,30571,1,1,0,142
473.3689180403216,30610,1,1,0,143
473.62924002094348,30540,1,1,0,144
473.88956004713555,30626,1,1,0,145
474.14987811771368,30605,1,1,0,146
474.41019423149362,30594,1,1,0,147
474.67050838729136,30590,1,1,0,148
474.93082058392287,30654,1,1,0,149
475.19113082020385,30596,1,1,0,150
475.45143909495056,30591,1,1,0,151
475.71174540697911,30550,1,1,0,152
475.97204975510522,30556,1,1,0,153
476.2323521381453,30604,1,1,0,154
476.49265255491542,30545,1,1,0,155
476.752951004232,30592,1,1,0,156
477.01324748491095,30582,1,1,0,157
477.27354199576877,30565,1,1,0,158
477.53383453562179,30556,1,1,0,159
477.79412510328638,30568,1,1,0,160
478.05441369757881,30579,1,1,0,161
478.31470031731578,30548,1,1,0,162
478.57498496131359,30593,1,1,0,163
478.835267628389,30543,1,1,0,164
479.09554831735824,30630,1,1,0,165
479.35582702703829,30584,1,1,0,166
479.61610375624565,30598,1,1,0,167
479.876378503797,30627,1,1,0,168
480.13665126850924,30569,1,1,0,169
480.39692204919891,30572,1,1,0,170
480.65719084468321,30584,1,1,0,171
